지역,광역시도,제조사,차종,모델명,국비보조금(만원),지방비보조금(만원),총보조금(만원)
강릉시,강원도,현대자동차,일반승용,GV60 스탠다드 2WD 19인치,287,142,429
강릉시,강원도,현대자동차,일반승용,GV60 스탠다드 AWD 19인치,261,129,390
강릉시,강원도,현대자동차,일반승용,GV60 스탠다드 AWD 20인치,251,124,375
강릉시,강원도,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치,236,117,353
강릉시,강원도,현대자동차,일반승용,Electrified GV70 AWD 20인치,244,121,365
강릉시,강원도,현대자동차,일반승용,Electrified GV70 AWD 19인치,260,129,389
강릉시,강원도,현대자동차,일반승용,아이오닉6 스탠다드 2WD 18인치,635,261,896
강릉시,강원도,현대자동차,일반승용,아이오닉6 롱레인지 2WD 18인치,686,285,971
강릉시,강원도,현대자동차,일반승용,아이오닉6 롱레인지 2WD 20인치,680,282,962
강릉시,강원도,현대자동차,일반승용,아이오닉6 롱레인지 AWD 18인치,686,285,971
강릉시,강원도,현대자동차,일반승용,아이오닉6 롱레인지 AWD 20인치,647,266,913
강릉시,강원도,현대자동차,일반승용,코나 일렉트릭 2WD 스탠다드 17인치,573,221,794
강릉시,강원도,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치,623,260,883
강릉시,강원도,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),568,232,800
강릉시,강원도,현대자동차,일반승용,아이오닉5 N,232,115,347
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,659,286,945
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치,656,285,941
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 20인치,651,282,933
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 20인치,624,269,893
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 19인치,650,282,932
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,633,273,906
강릉시,강원도,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,602,258,860
